ApplicationName,ScreenTimeCollect,DateCollected
Stellaris,85599410,07/01/2023 00:00:00
TrackIt,1511063,07/13/2023 15:41:31
Notepad++,678899,07/13/2023 15:41:51
Steam,5647778,07/13/2023 15:43:42
Stellaris,8559941,07/13/2023 15:44:22
Google Chrome,4172673,07/13/2023 15:45:32
Discord,80132,07/13/2023 17:59:32
Genshin Impact,159696,07/13/2023 17:59:32
MainWindow,20000,07/13/2023 21:24:13
Search,42274,07/14/2023 08:37:24
OneDrive - Arden Anglican School,9608,07/14/2023 09:34:13
Microsoft Visual Studio,50070,07/15/2023 09:47:13
Visual Studio Installer,89940,07/15/2023 09:47:33
ConsoleApp13 - Microsoft Visual Studio,79910,07/15/2023 09:52:13
Task Manager,59991,07/16/2023 10:09:23
